CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,Activity A,1970-01-01 09:00:00,0.0,0.0
1,,1970-01-01 10:00:00,3600.0,0.1428565759659684
1,Activity C,1970-01-01 11:00:00,7200.0,0.2857131519319368
1,,,,
1,,1970-01-01 13:00:00,14400.0,0.5714263038638736
1,Activity K,,,
1,Activity G,1970-01-01 14:00:00,18000.0,0.714282879829842
1,Activity M,1970-01-01 14:00:00,18000.0,0.714282879829842
1,Activity L,1970-01-01 15:00:00,21600.0,0.8571394557958104
1,Activity I,,,
1,,1970-01-01 15:00:00,21600.0,0.8571394557958104
1,Activity N,1970-01-01 15:00:00,21600.0,0.8571394557958104
1,Activity H,1970-01-01 16:00:00,25200.0,0.9999960317617788
1,Activity F,,,
2,Activity A,1970-01-01 09:00:00,0.0,0.0
2,,1970-01-01 10:00:00,3600.0,0.1428565759659684
2,,,,
2,Activity D,,,
2,Activity E,1970-01-01 13:00:00,14400.0,0.5714263038638736
2,Activity M,1970-01-01 14:00:00,18000.0,0.714282879829842
2,Activity K,1970-01-01 14:00:00,18000.0,0.714282879829842
2,Activity G,1970-01-01 14:00:00,18000.0,0.714282879829842
2,,,,
2,Activity L,,,
2,Activity J,1970-01-01 15:00:00,21600.0,0.8571394557958104
2,Activity I,,,
2,,1970-01-01 16:00:00,25200.0,0.9999960317617788
2,Activity F,,,
3,Activity A,,,
3,Activity B,1970-01-01 10:00:00,3600.0,0.0
3,Activity C,,,
3,,1970-01-01 12:00:00,10800.0,0.2857131519319368
3,Activity E,1970-01-01 13:00:00,14400.0,0.4285697278979052
3,Activity G,1970-01-01 14:00:00,18000.0,0.5714263038638736
3,Activity M,,,
3,,,,
3,Activity J,1970-01-01 15:00:00,21600.0,0.714282879829842
3,,,,
3,Activity N,1970-01-01 15:00:00,21600.0,0.714282879829842
3,Activity L,1970-01-01 15:00:00,21600.0,0.714282879829842
3,Activity H,1970-01-01 16:00:00,25200.0,0.8571394557958104
3,,1970-01-01 17:00:00,28800.0,0.9999960317617788
4,Activity A,,,
4,,,,
4,Activity C,1970-01-01 11:00:00,7200.0,0.0
4,Activity D,1970-01-01 12:00:00,10800.0,0.16666589506530063
4,Activity E,1970-01-01 13:00:00,14400.0,0.33333179013060127
4,Activity G,,,
4,,1970-01-01 14:00:00,18000.0,0.49999768519590193
4,,,,
4,,,,
4,,,,
4,Activity L,1970-01-01 15:00:00,21600.0,0.6666635802612025
4,Activity N,1970-01-01 15:00:00,21600.0,0.6666635802612025
4,Activity H,1970-01-01 16:00:00,25200.0,0.8333294753265031
4,Activity F,1970-01-01 17:00:00,28800.0,0.9999953703918039
5,Activity A,1970-01-01 09:00:00,0.0,0.0
5,,1970-01-01 10:00:00,3600.0,0.12499956597372927
5,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
5,,1970-01-01 12:00:00,10800.0,0.3749986979211878
