CaseID,AnomalousActivity,AnomalousCompleteTimestamp,AnomalousDuration,AnomalousCumDuration,ActivityLabel,TimeLabel
1,Activity N,1970-01-01 09:00:00.000000,0.0,0.0,1,0
1,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
1,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
1,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
1,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
1,Activity K,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
1,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
1,Activity M,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
1,Activity L,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
1,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
1,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
1,Activity N,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
1,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
1,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
2,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
2,Activity B,1970-01-01 10:10:25.009947,4225.00994724807,4225.009947,0,1
2,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
2,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
2,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
2,Activity M,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
2,Activity K,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
2,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
2,Activity N,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
2,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
2,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
2,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
2,Activity H,1970-01-01 16:52:49.963110,6769.963110387827,28369.96311,0,1
2,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
3,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
3,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
3,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
3,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
3,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
3,Activity G,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
3,Activity M,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
3,Activity K,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
3,Activity J,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
3,Activity I,1970-01-01 15:50:50.680634,3050.6806338853853,24650.680634,0,1
3,Activity N,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
3,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
3,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
3,Activity F,1970-01-01 17:54:28.219405,6868.219405027844,32068.219405,0,1
4,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
4,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
4,Activity K,1970-01-01 11:00:00.000000,3600.0,7200.0,1,0
4,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
4,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
4,Activity G,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
4,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,1,0
4,Activity M,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
4,Activity I,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
4,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
4,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
4,Activity N,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
4,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
4,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
5,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
5,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
5,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
5,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
5,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
5,Activity M,1970-01-01 14:11:14.433560,4274.433560125079,18674.43356,0,1
5,Activity K,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
5,Activity B,1970-01-01 14:00:00.000000,0.0,18000.0,1,0
5,Activity N,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
5,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
5,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
5,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
5,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
5,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
6,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
6,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
6,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
6,Activity C,1970-01-01 12:00:00.000000,3600.0,10800.0,1,0
6,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
6,Activity M,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
6,Activity M,1970-01-01 14:00:00.000000,0.0,18000.0,1,0
6,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
6,Activity N,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
6,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
6,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
6,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
6,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
6,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
7,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
7,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
7,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
7,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
7,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
7,Activity G,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
7,Activity M,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
7,Activity K,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
7,Activity J,1970-01-01 14:57:19.618384,3439.618384061215,21439.618384,0,1
